model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
Performance ML (B),role,RUCK,recent (2022-2026),52.0,0.40384615384615385,0.3009518943495039,0.050682261208576995,,,
Performance ML (B),role,UNKNOWN,recent (2022-2026),34.0,0.5882352941176471,0.40696674567515917,0.03313840155945419,,,
Performance ML (B),margin_bucket,0-12,all,750.0,0.54,0.37002202262007206,0.2533783783783784,,,
Performance ML (B),margin_bucket,100+,all,64.0,0.703125,0.4949410448629866,0.021621621621621623,,,
Performance ML (B),margin_bucket,12-24,all,574.0,0.6132404181184669,0.4271001913728871,0.1939189189189189,,,
Performance ML (B),margin_bucket,24-48,all,892.0,0.5762331838565022,0.40959099976777424,0.3013513513513513,,,
Performance ML (B),margin_bucket,48-100,all,680.0,0.6102941176470589,0.43952708087503495,0.22972972972972974,,,
Performance ML (B),margin_bucket,0-12,recent (2022-2026),291.0,0.49140893470790376,0.3362187784444413,0.28362573099415206,,,
Performance ML (B),margin_bucket,100+,recent (2022-2026),18.0,0.6111111111111112,0.5324651220270815,0.017543859649122806,,,
Performance ML (B),margin_bucket,12-24,recent (2022-2026),195.0,0.6,0.4231582413860447,0.19005847953216373,,,
Performance ML (B),margin_bucket,24-48,recent (2022-2026),290.0,0.5551724137931034,0.4047523198902242,0.2826510721247563,,,
Performance ML (B),margin_bucket,48-100,recent (2022-2026),232.0,0.6379310344827587,0.45088894669088403,0.22612085769980506,,,
Performance ML (B),losing_team_3voter,False,all,2659.0,0.6084994358781497,0.4268455933688699,0.8983108108108108,,,
Performance ML (B),losing_team_3voter,True,all,301.0,0.3754152823920266,0.2777388960278265,0.10168918918918919,,,
Performance ML (B),losing_team_3voter,False,recent (2022-2026),916.0,0.5938864628820961,0.4197681963563366,0.8927875243664717,,,
Performance ML (B),losing_team_3voter,True,recent (2022-2026),110.0,0.32727272727272727,0.2492421302922218,0.10721247563352826,,,
Performance ML (B),season_ev_bias_by_role,KEY_DEFENDER,all,,,,,178.0,-0.9400909212894196,1.6113910177917083
Performance ML (B),season_ev_bias_by_role,KEY_FORWARD,all,,,,,300.0,-0.5065589542219613,1.3555673649168467
Performance ML (B),season_ev_bias_by_role,MEDIUM_DEFENDER,all,,,,,407.0,-0.10510940356516246,1.7425444595180846
Performance ML (B),season_ev_bias_by_role,MEDIUM_FORWARD,all,,,,,376.0,-0.646470435417434,1.4350684297879281
