market_type,market_name,selection,player,team,opponent_or_pair,line,odds,implied_probability,model_probability,probability_edge_pp,expected_value,model_disagreement,structural_break_sensitivity,simulation_uncertainty,confidence_tier,audit_status,audit_notes,quality_label,source_url,timestamp
PLAYER_VOTES_OU,Izak Rankine Votes O/U,Over,Izak Rankine,,,21.5,1.87,0.53475935828877,0.40961,-12.514935828877,-0.2340293,0.4248485053324877,0.4248485053324877,10.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-player-votes-o-u/izak-rankine-votes-o-u-10911163,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Stephen Coniglio,Stephen Coniglio,,,1.0,1.09,0.9174311926605504,0.78927,-12.816119266055036,-0.13969569999999987,0.3713555110959743,0.2507321168660525,6.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 20 or more votes,Luke Jackson,Luke Jackson,,,20.0,6.0,0.16666666666666666,0.03833,-12.833666666666666,-0.7700199999999999,1.907590918545143,1.3768516536469768,14.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-20-or-more-votes-10865485,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,George Wardlaw,George Wardlaw,,,1.0,2.35,0.425531914893617,0.28938,-13.615191489361699,-0.31995699999999994,0.1279987944982958,0.1279987944982958,3.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 20 or more votes,Kysaiah Pickett,Kysaiah Pickett,,,20.0,1.87,0.53475935828877,0.39604,-13.871935828876996,-0.2594052,0.0813679360765249,0.0411218884956916,10.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-20-or-more-votes-10865485,2026-09-17T04:16:34.686425+00:00
PLAYER_VOTES_OU,Kysaiah Pickett Votes O/U,Over,Kysaiah Pickett,,,19.5,1.87,0.53475935828877,0.39604,-13.871935828876996,-0.2594052,0.0813679360765249,0.0411218884956916,10.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-player-votes-o-u/kysaiah-pickett-votes-o-u-10911172,2026-09-17T04:16:34.686425+00:00
TEAM_TOP_POLLER,Hawthorn Most Votes - Without J.Newcombe,Connor Macdonald,Connor Macdonald,Hawthorn,,,7.0,0.14285714285714285,0.00407,-13.878714285714286,-0.97151,0.6848669364230702,0.6848669364230702,12.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-teams/hawthorn-most-votes-without-j-newcombe-10819449,2026-09-17T04:16:34.686425+00:00
TOP_N,Top 5 Finish (Includes Ineligible),Patrick Cripps,Patrick Cripps,,,5.0,1.72,0.5813953488372093,0.44047,-14.092534883720937,-0.24239160000000004,1.421776536178978,0.1083166928301686,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-5-finish-includes-ineligible--10804245,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Luke Ryan,Luke Ryan,,,1.0,1.43,0.6993006993006994,0.5578,-14.150069930069941,-0.20234600000000014,0.1001113635465529,0.0067035757259279,5.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Elliot Yeo,Elliot Yeo,,,1.0,1.89,0.5291005291005292,0.38638,-14.272052910052919,-0.26974180000000003,0.1535622130142758,0.0136489181333289,4.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Tim Membrey,Tim Membrey,,,1.0,1.15,0.8695652173913044,0.72353,-14.603521739130443,-0.16794050000000005,0.180016205057705,0.0308031882173303,5.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
TEAM_VOTES_OU,Fremantle Team Votes O/U,Over,,Fremantle,,99.5,1.87,0.53475935828877,0.3882,-14.655935828876999,-0.27406600000000003,,,,UNKNOWN,PRICE_SUSPECT,Over and Under both priced at 1.87 - flat/templated pricing pattern shared across most team O/U markets; held out of headline value pending a market refresh,REVIEW REQUIRED — PRICE FRESHNESS,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-team-votes-o-u/fremantle-team-votes-o-u-10911262,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 10 or more votes,Jarman Impey,Jarman Impey,,,10.0,4.25,0.23529411764705882,0.08586,-14.943411764705882,-0.635095,1.061121065784521,0.6469742886872698,9.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-10-or-more-votes-10865473,2026-09-17T04:16:34.686425+00:00
GROUP_H2H,Brownlow Group - Group D,Wayne Milera,Wayne Milera,,Group D,,5.0,0.2,0.05022333333333334,-14.977666666666668,-0.7488833333333333,0.3832089948870942,0.3832089948870942,10.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/brownlow-group-group-d-10915098,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Dyson Sharp,Dyson Sharp,,,1.0,6.0,0.16666666666666666,0.0159,-15.076666666666666,-0.9046,0.0034731960368512,0.0034731960368512,0.0,LOW,VERIFIED,,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 20 or more votes,Izak Rankine,Izak Rankine,,,20.0,1.19,0.8403361344537815,0.68892,-15.141613445378155,-0.18018520000000005,0.4248485053324877,0.4248485053324877,10.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-20-or-more-votes-10865485,2026-09-17T04:16:34.686425+00:00
