rank,player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect,sim_mean_votes,sim_median_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,prob_rank_1,prob_top3_rank,prob_top10_rank,projected_3_vote_games,projected_2_vote_games,projected_1_vote_games
38,12025,Toby Greene,greater_western_sydney,10.10795514988766,10.97983233633507,10.784430803219992,9.26935357579164,9.604794205430045,9.98216491377326,9.814444598954053,9.949739729620518,0.8386015740960193,1.5150772274283515,0.87187718644741,9.94672,10.0,6.0,14.0,4.0,16.0,0.54673,0.07051,0.00121,0.0,0.0,0.0,0.0,0.0,0.00048,1,2,3
39,12693,Tom Sparrow,melbourne,9.545877495995672,8.834477987900053,10.041779623913154,9.823659094669058,9.712546455199718,9.58754473579669,9.64310105553137,9.742281481114864,0.2777815986733856,0.495902127917482,-0.711399508095619,9.7407,10.0,6.0,14.0,4.0,16.0,0.51363,0.06031,0.00158,1e-05,0.0,0.0,0.0,0.0,0.00079,2,2,2
40,12969,Finn Callaghan,greater_western_sydney,9.337855606633193,10.95926803767606,9.125024470668963,10.149755459553576,9.82499551838542,9.459640584571249,9.622020555155324,9.57945432796248,0.8118998529203854,1.0247309888846132,1.62141243104287,9.58469,9.0,6.0,13.0,4.0,16.0,0.48884,0.05268,0.00117,1e-05,0.0,0.0,0.0,0.0,0.00048,2,0,3
41,13104,Shaun Mannagh,geelong,9.504308590253906,9.419781544470515,9.54757748812966,9.316540397357477,9.391647674516053,9.47614336131944,9.438589722740158,9.44724350231531,0.1877681928964296,0.2310370907721832,-0.0845270457833891,9.43782,9.0,7.0,12.0,6.0,14.0,0.46741,0.01226,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2
42,12983,Jye Amiss,fremantle,9.499782855776472,9.273822542844536,9.53910160408323,9.162914122868973,9.297661616031972,9.449252545840348,9.381878799258848,9.389742548920198,0.3368687329074991,0.3761874812142576,-0.2259603129319369,9.39269,9.0,6.0,13.0,5.0,15.0,0.4536,0.02587,0.0003,0.0,0.0,0.0,0.0,0.0,0.00012,3,0,1
43,12241,Zach Merrett,essendon,9.391868918738362,9.356243337715693,8.844914783850104,9.225925758440804,9.292303022559826,9.366977444693728,9.333788812634216,9.224397985656564,0.1659431602975587,0.5469541348882583,-0.0356255810226713,9.22421,9.0,6.0,13.0,4.0,15.0,0.44522,0.03277,0.00032,0.0,0.0,0.0,0.0,0.0,0.00013,2,2,1
44,12887,Josh Treacy,fremantle,9.239414228924169,8.605868070025862,9.272540405021203,8.514710330095225,8.804591889626803,9.130708644099824,8.985767864334036,8.992393099553444,0.7247038988289418,0.7578300749259785,-0.6335461588983051,8.98983,9.0,6.0,13.0,4.0,15.0,0.40277,0.0353,0.00075,0.0,0.0,0.0,0.0,0.0,0.00037,1,2,0
45,12768,Matt Rowell,gold_coast,8.809136463220314,10.446716373090233,9.064310355516914,8.076177387076829,8.36936101753422,8.699192601798792,8.552600786570094,8.603635565029414,0.7329590761434854,0.9881329684400856,1.6375799098699169,8.62037,8.0,5.0,12.0,4.0,14.0,0.35256,0.01923,0.00013,0.0,0.0,0.0,0.0,0.0,2e-05,1,2,1
46,12331,Touk Miller,gold_coast,8.622602747177943,8.162890907550214,8.480096301713427,8.241951960850061,8.39421227538119,8.565505129228765,8.489374971963176,8.460873682870268,0.3806507863278821,0.3806507863278821,-0.4597118396277295,8.45267,8.0,5.0,12.0,4.0,14.0,0.33768,0.01517,7e-05,0.0,0.0,0.0,0.0,0.0,4e-05,1,4,1
47,12782,Lachie Ash,greater_western_sydney,8.037964528845269,8.442825684079274,7.512031756233384,8.596780788447518,8.373254284606618,8.121786967785606,8.233550219706057,8.128363665183679,0.5588162596022492,1.084749032214134,0.4048611552340055,8.1251,8.0,5.0,12.0,3.0,14.0,0.30199,0.01732,0.00019,0.0,0.0,0.0,0.0,0.0,8e-05,2,2,0
48,13125,Hugo Garcia,st_kilda,7.83390940937215,7.144562161717006,7.932264846086334,8.0801339091184,7.981644109219959,7.8708430843341235,7.920087984283383,7.939759071626224,0.2462244997462503,0.2462244997462503,-0.6893472476551441,7.9483,8.0,4.0,12.0,3.0,14.0,0.27957,0.0157,0.00023,0.0,0.0,0.0,0.0,0.0,0.00012,2,0,2
49,13137,Logan Morris,brisbane_lions,7.817913122541697,7.937672077511028,7.827352939811215,7.643719648032077,7.713397037835925,7.791784101365254,7.75694540646333,7.758833369917234,0.1741934745096198,0.1836332917791381,0.1197589549693312,7.76322,8.0,6.0,10.0,5.0,12.0,0.16136,0.00176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
50,12504,Tim Taranto,richmond,7.774647376601937,8.722294717357672,7.65015001545628,7.499228329477892,7.609395948327522,7.733334519533321,7.678250710108522,7.653351237879391,0.2754190471240454,0.2754190471240454,0.9476473407557346,7.6548,8.0,5.0,11.0,4.0,12.0,0.20124,0.00312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
51,12743,John Noble,gold_coast,7.257533814686634,6.948157516845506,6.607469741156336,7.742488324244666,7.548506520421455,7.330276991120338,7.427267893031946,7.297255078325885,0.4849545095580314,1.13501858308833,-0.3093762978411281,7.28202,7.0,4.0,11.0,2.0,13.0,0.20785,0.00801,6e-05,0.0,0.0,0.0,0.0,0.0,2e-05,0,2,2
52,13105,Nick Watson,hawthorn,6.631035129258928,5.943794671846634,7.150436186731872,6.812019584573528,6.739625802447689,6.658182797556118,6.694379688619039,6.798259900113627,0.1809844553145998,0.519401057472944,-0.6872404574122939,6.79457,7.0,4.0,10.0,2.0,12.0,0.14233,0.00253,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
53,12699,Nick Blakey,sydney,6.7795128823866975,6.926678077613492,6.601596786651504,6.90700922447932,6.856010687642272,6.798637333700591,6.824136602119116,6.788553382972077,0.1274963420926225,0.3054124378278162,0.1471651952267949,6.80258,7.0,4.0,10.0,3.0,12.0,0.11399,0.00205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
54,12849,Sam Berry,adelaide,6.4816974065775295,5.847013868867976,6.436261681838538,6.997614847991317,6.791247871425801,6.559085022789595,6.662268511072353,6.653181366124556,0.5159174414137873,0.5613531661527791,-0.6346835377095532,6.64629,6.0,3.0,10.0,2.0,12.0,0.13986,0.00412,4e-05,0.0,0.0,0.0,0.0,0.0,1e-05,1,2,2
55,12167,Jake Stringer,greater_western_sydney,6.617752912385606,6.531413047621492,6.709577686252385,6.6415717675239545,6.632044225468618,6.621325740656356,6.626089511684028,6.644454466457384,0.0238188551383489,0.0918247738667794,-0.0863398647641133,6.64499,6.0,5.0,9.0,4.0,11.0,0.0582,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
56,12954,Connor Macdonald,hawthorn,6.854235228633949,6.31332598073037,6.6716586150362485,6.16453033440816,6.440412292098476,6.7507794945000805,6.612838515654923,6.576323192935384,0.6897048942257893,0.6897048942257893,-0.5409092479035795,6.58309,6.0,3.0,10.0,1.0,13.0,0.156,0.00691,9e-05,0.0,0.0,0.0,0.0,0.0,4e-05,1,1,1
57,12974,Oliver Dempsey,geelong,6.568114150698365,5.952574130294347,6.717760891280035,6.4172310589577615,6.477584295654007,6.545481686937279,6.515305068589159,6.545234416705496,0.1508830917406038,0.3005298323222733,-0.6155400204040182,6.5557,6.0,4.0,9.0,3.0,11.0,0.09423,0.00109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
