match_id,season,round,player_id,player_name,team_id,predicted_votes,p3,p2,p1,expected_votes
2026_R13_essendon_v_carlton_2026-06-07,2026,13,12411,George Hewett,carlton,1,0.17118600250460553,0.16715067856174987,0.15921271613192522,1.0070720807692415
2026_R13_gold_coast_v_brisbane_lions_2026-06-06,2026,13,13137,Logan Morris,brisbane_lions,3,0.8912382539611765,0.10728755906716085,0.0014612106403520094,2.8897510906582036
2026_R13_gold_coast_v_brisbane_lions_2026-06-06,2026,13,12055,Lachie Neale,brisbane_lions,2,0.10203405599166836,0.8359518797365664,0.05860887352293038,2.0366148009710683
2026_R13_gold_coast_v_brisbane_lions_2026-06-06,2026,13,12743,John Noble,gold_coast,1,0.002300946845410999,0.01942115034403053,0.31893292835234555,0.3646780695766396
2026_R13_hawthorn_v_western_bulldogs_2026-06-05,2026,13,12354,Bailey Dale,western_bulldogs,3,0.40518700874271774,0.29797321544136773,0.17928938445480969,1.990796841565698
2026_R13_hawthorn_v_western_bulldogs_2026-06-05,2026,13,12915,Jai Newcombe,hawthorn,2,0.28092511910649504,0.2900019345840794,0.2258495835608981,1.648628810048542
2026_R13_hawthorn_v_western_bulldogs_2026-06-05,2026,13,12269,Marcus Bontempelli,western_bulldogs,1,0.1331619688995969,0.16879209282115615,0.22970657168669417,0.9667766640277972
2026_R13_north_melbourne_v_fremantle_2026-06-06,2026,13,13129,Patrick Voss,fremantle,3,0.5183564819309207,0.2726325747887479,0.1285787749703172,2.228913370340575
2026_R13_north_melbourne_v_fremantle_2026-06-06,2026,13,12589,Andrew Brayshaw,fremantle,2,0.15020758089238073,0.21366888500129866,0.2042292542021643,1.0821897668819038
2026_R13_north_melbourne_v_fremantle_2026-06-06,2026,13,12779,Luke Jackson,fremantle,1,0.07416724225493179,0.11291314705728117,0.14130004385887557,0.5896280647382333
2026_R13_sydney_v_st_kilda_2026-06-07,2026,13,12326,Isaac Heeney,sydney,3,0.5996043506727672,0.2587532646838245,0.09778426244435535,2.414103843830306
2026_R13_sydney_v_st_kilda_2026-06-07,2026,13,12797,Chad Warner,sydney,2,0.1334049771981864,0.24024362901736743,0.23010808402295146,1.1108102736522456
2026_R13_sydney_v_st_kilda_2026-06-07,2026,13,12950,Nasiah Wanganeen-Milera,st_kilda,1,0.10404105875419882,0.18795942700973994,0.21416908691265446,0.9022111171947308
2026_R13_west_coast_v_port_adelaide_2026-06-06,2026,13,12956,Jason Horne-Francis,port_adelaide,3,0.38112735530987596,0.25533794690411693,0.16180552608431198,1.8158634858221738
2026_R13_west_coast_v_port_adelaide_2026-06-06,2026,13,12698,Zak Butters,port_adelaide,2,0.1527065639175372,0.16883175145126292,0.16148885131498358,0.957272045970121
2026_R13_west_coast_v_port_adelaide_2026-06-06,2026,13,13240,Tom McCarthy,west_coast,1,0.08833661152211807,0.10503916499322322,0.11583299549583229,0.5909211600486329
2026_R14_geelong_v_gold_coast_2026-06-12,2026,14,12881,Max Holmes,geelong,3,0.7006455604948383,0.23112565319840797,0.05558941413204057,2.6197774020133715
2026_R14_geelong_v_gold_coast_2026-06-12,2026,14,12692,Bailey Smith,geelong,2,0.15232878180819814,0.3789264874445918,0.2494791929738412,1.464318513287619
2026_R14_geelong_v_gold_coast_2026-06-12,2026,14,12974,Oliver Dempsey,geelong,1,0.038310499457438675,0.1009052783983769,0.17260935533077257,0.48935141049984243
2026_R14_melbourne_v_essendon_2026-06-13,2026,14,12771,Kysaiah Pickett,melbourne,3,0.8954431178217506,0.09874494713875329,0.005575165767740191,2.8893944135104985
2026_R14_melbourne_v_essendon_2026-06-13,2026,14,11966,Max Gawn,melbourne,2,0.07200168172337103,0.61964827910385,0.22308812057366137,1.6783897239514745
2026_R14_melbourne_v_essendon_2026-06-13,2026,14,12567,Will Setterfield,essendon,1,0.009301066671625358,0.08104729447563341,0.2189453405801714,0.4089431295463143
2026_R14_north_melbourne_v_west_coast_2026-06-13,2026,14,13034,Harry Sheezel,north_melbourne,3,0.8468377459689975,0.13297989824766054,0.017870710525048263,2.824343744927362
2026_R14_north_melbourne_v_west_coast_2026-06-13,2026,14,11905,Jack Darling,north_melbourne,2,0.05059135516455987,0.28394489529626915,0.2354636564996422,0.95512751258586
2026_R14_north_melbourne_v_west_coast_2026-06-13,2026,14,12563,Nick Larkey,north_melbourne,1,0.02514735555305303,0.14218982644845876,0.165158726353208,0.5249804459092846
2026_R14_port_adelaide_v_sydney_2026-06-13,2026,14,12326,Isaac Heeney,sydney,3,0.3084282659432438,0.23479313480525438,0.1718429728189698,1.5667140402592101
2026_R14_port_adelaide_v_sydney_2026-06-13,2026,14,12797,Chad Warner,sydney,2,0.1288372075459477,0.1374595201242604,0.1405218731158005,0.8019525360021644
2026_R14_port_adelaide_v_sydney_2026-06-13,2026,14,12217,Brodie Grundy,sydney,1,0.12795082094921426,0.1364679099056423,0.1398046459554501,0.7965929286143774
2026_R14_richmond_v_brisbane_lions_2026-06-14,2026,14,13040,Will Ashcroft,brisbane_lions,3,0.934587189744613,0.062003374060805264,0.0032731235167424086,2.9310414408721917
2026_R14_richmond_v_brisbane_lions_2026-06-14,2026,14,12055,Lachie Neale,brisbane_lions,2,0.01813481800629147,0.25948551918670976,0.25058052641119805,0.823956018803492
2026_R14_richmond_v_brisbane_lions_2026-06-14,2026,14,12610,Zac Bailey,brisbane_lions,1,0.016790176540576254,0.24083347970662167,0.23960946252489365,0.7716469515598657
2026_R14_st_kilda_v_greater_western_sydney_2026-06-14,2026,14,12950,Nasiah Wanganeen-Milera,st_kilda,3,0.4308507129664228,0.3433992388179915,0.155070547684396,2.1344211642196473
2026_R14_st_kilda_v_greater_western_sydney_2026-06-14,2026,14,12600,Liam Ryan,st_kilda,2,0.3722645155931992,0.357564480522798,0.1780173367657242,2.009939844590918
2026_R14_st_kilda_v_greater_western_sydney_2026-06-14,2026,14,12410,Clayton Oliver,greater_western_sydney,1,0.0565012120272818,0.08440156069861116,0.18538157680205547,0.5236883342811232
