model,window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
Model0_Benchmark,expanding,2019,16,184,0.5978260869565217,0.3532608695652174,0.22282608695652173,0.059782608695652176,0.22282608695652173,0.6865942028985507,0.6865942028985507,0.42764569972301375,0.18016531952873654,0.0868421706636119,0.1321757339606684
Model1_PlackettLuce,expanding,2019,16,184,0.6304347826086957,0.375,0.17391304347826086,0.08152173913043478,0.20108695652173914,0.6847826086956522,0.6847826086956522,0.4281878254614487,0.1737814039660264,0.08412542936199835,0.1281858398376969
Model2a_GBM_utility,expanding,2019,16,184,0.592391304347826,0.32065217391304346,0.17391304347826086,0.06521739130434782,0.2391304347826087,0.6902173913043478,0.6902173913043478,0.4263231113471879,0.2709985987046181,0.11791770502724862,0.23385467020117098
Model2b_GBM_multiclass,expanding,2019,16,184,0.5652173913043478,0.3641304347826087,0.18478260869565216,0.06521739130434782,0.20652173913043478,0.6974637681159421,0.6974637681159421,0.427498122517478,0.18183584315879645,0.08777862201165197,0.1362163599142938
Model0_Benchmark,recent8,2019,8,184,0.5869565217391305,0.3641304347826087,0.18478260869565216,0.08152173913043478,0.2391304347826087,0.6920289855072465,0.6920289855072465,0.43009801683716076,0.17728546204726148,0.08523145015197756,0.12239793638356797
Model1_PlackettLuce,recent8,2019,8,184,0.6358695652173914,0.3967391304347826,0.18478260869565216,0.10326086956521739,0.23369565217391305,0.6992753623188406,0.6992753623188406,0.43065908496452715,0.1682626667162838,0.08258183921217892,0.11826928517722878
Model2a_GBM_utility,recent8,2019,8,184,0.5652173913043478,0.28804347826086957,0.20108695652173914,0.05434782608695652,0.22282608695652173,0.6865942028985507,0.6865942028985507,0.4257948167802128,0.2666242308190029,0.11583699470670636,0.22875317062216702
Model2b_GBM_multiclass,recent8,2019,8,184,0.5434782608695652,0.33695652173913043,0.16304347826086957,0.08152173913043478,0.20652173913043478,0.7010869565217391,0.7010869565217391,0.4293877327232303,0.1768943015606805,0.08611959735626036,0.1271663906259011
Model0_Benchmark,expanding,2020,17,125,0.568,0.344,0.152,0.072,0.224,0.6426666666666666,0.6426666666666666,0.4146305343833016,0.23007516729570576,0.09672868246098972,0.15030682933487793
Model1_PlackettLuce,expanding,2020,17,125,0.528,0.304,0.16,0.072,0.216,0.6533333333333333,0.6533333333333333,0.415502514072756,0.2017608026977047,0.0954280508545356,0.15362813413389537
Model2a_GBM_utility,expanding,2020,17,125,0.52,0.272,0.152,0.088,0.216,0.6373333333333335,0.6373333333333335,0.40595361480880965,0.29149867887386854,0.12509322172322826,0.2512743651717419
Model2b_GBM_multiclass,expanding,2020,17,125,0.552,0.28,0.152,0.08,0.216,0.6480000000000001,0.6480000000000001,0.4161080641975072,0.22319142412416582,0.09751643826500041,0.15020342067808473
Model0_Benchmark,recent8,2020,8,125,0.528,0.32,0.136,0.072,0.2,0.6426666666666666,0.6426666666666666,0.41391933177599344,0.22698815530477354,0.09729565857226946,0.14728416661412563
Model1_PlackettLuce,recent8,2020,8,125,0.52,0.336,0.184,0.072,0.208,0.6533333333333333,0.6533333333333333,0.4150745718426852,0.20164802731211243,0.09520093371634583,0.14233448888216407
Model2a_GBM_utility,recent8,2020,8,125,0.504,0.288,0.152,0.096,0.208,0.6373333333333334,0.6373333333333334,0.4053012436390331,0.28595627448841704,0.12262393121174067,0.24527969443990472
Model2b_GBM_multiclass,recent8,2020,8,125,0.52,0.264,0.136,0.064,0.168,0.64,0.64,0.4129645445513219,0.2467483895262567,0.09909580861264816,0.14378418309431976
Model0_Benchmark,expanding,2021,18,180,0.6555555555555556,0.36666666666666664,0.25555555555555554,0.12777777777777777,0.24444444444444444,0.7222222222222222,0.7222222222222222,0.42575035533247085,0.17996340739760916,0.08676151687389846,0.13572971018565302
Model1_PlackettLuce,expanding,2021,18,180,0.6444444444444445,0.37777777777777777,0.29444444444444445,0.13333333333333333,0.2722222222222222,0.7129629629629629,0.7129629629629629,0.4257391032110228,0.17633453890957299,0.08450603598547995,0.12838576870290283
Model2a_GBM_utility,expanding,2021,18,180,0.6777777777777778,0.39444444444444443,0.22777777777777777,0.1,0.24444444444444444,0.6888888888888889,0.6888888888888889,0.42385415011313465,0.27159527147354073,0.11776007906348265,0.23431095254310513
Model2b_GBM_multiclass,expanding,2021,18,180,0.6333333333333333,0.32222222222222224,0.25555555555555554,0.12777777777777777,0.25,0.7037037037037036,0.7037037037037036,0.4260358644234472,0.18337794521989464,0.0880022418699218,0.13583256565942017
Model0_Benchmark,recent8,2021,8,180,0.6722222222222223,0.4,0.2722222222222222,0.16111111111111112,0.2611111111111111,0.7203703703703704,0.7203703703703704,0.4256652146764702,0.1760796742598136,0.08552579261588382,0.12695461174310418
