,disposals,kicks,handballs,effective_disposals,disposal_efficiency_pct,contested_possessions,uncontested_possessions,clearances,centre_clearances,stoppage_clearances,tackles,goals,behinds,goal_assists,score_involvements,marks,contested_marks,inside_50s,metres_gained,hitouts,one_percenters,rebound_50s,frees_for,frees_against,disposals_match_z,disposals_team_share,disposals_gap_best_team,contested_possessions_match_z,clearances_match_z,goals_match_z,possession_impact_index,contest_index,scoring_index,territory_index,defensive_index,margin,absolute_margin,afl_fantasy_points,supercoach_points,brownlow_votes
one_percenters,-0.03461409944118066,0.024176027588052738,-0.07716205761582984,-0.020753408663368222,0.16651998016896205,0.01034306782390339,-0.04994045737699281,-0.15600195994048086,-0.13263220031934916,-0.16285769959023702,-0.09136852937697612,-0.17610092599803573,-0.1552771508977449,-0.13643396091276142,-0.2204234171396664,0.1472444371374449,0.18428698950499817,-0.19062832808570215,-0.06271752133589321,0.1297523008956056,1.0,0.27887553508624235,0.02311147694000815,0.0422419458825196,-0.042411860745343435,-0.04356629888988438,-0.051922967297519954,-0.007615978353257958,-0.1638579767512544,-0.15987335632485336,-0.043344203034787,-0.10644223537986147,-0.2401569593044278,0.012415224047064478,0.5783595987228296,0.017005119727687087,-0.021098593233309013,-0.0682486300149208,0.08381906378117342,-0.03701539220964638
rebound_50s,0.40666798458336545,0.4662443188493341,0.17108557207565556,0.42812910035024776,0.21270039359158574,0.08156354888188873,0.4066431666973513,0.012100488579995046,-0.0558038991726193,0.022048580303195245,-0.017494133452161335,-0.3282865771058666,-0.2545260362148434,-0.14611708965293993,-0.18267642657026675,0.29536306824127856,-0.028289549372862224,-0.04829763405434736,0.4186335779852614,-0.16249114914349785,0.27887553508624235,1.0,0.008842059364552983,-0.013030546018166432,0.40560571642362325,0.41893672706297713,0.35736839507363155,0.07486699304520701,0.007036320650451375,-0.2852233443612089,0.35688695717143565,0.02162066447947805,-0.34542332207390214,0.5790033598009211,0.6676632971353503,-0.032403860716374966,-0.006120616094944817,0.24234840961084392,0.2624766227773485,0.0382464662553639
frees_for,0.187220986110383,0.1850867543498639,0.1243513989414165,0.13704466752509042,-0.024364861500276367,0.379193109676759,0.03435754048447715,0.22465690485773662,0.18894941227277717,0.19399713095365015,0.21653375951249446,0.10610462290470957,0.08616311416710246,0.06185668370943401,0.1614660135376963,-0.0034040752904247,0.04712023333550937,0.16204901211774464,0.11234294733879249,0.11286677207230311,0.02311147694000815,0.008842059364552983,1.0,0.08046388316479838,0.19017356739311084,0.19017001720237012,0.166855320083661,0.37563782310582067,0.21238061693168162,0.0901740073291296,0.22781900537155614,0.34467564605154577,0.11989502707368796,0.12465182331750269,0.13096052827139226,0.020978327074750672,-0.004456406605311523,0.24789228515976663,0.2729484506069264,0.1359493390387767
frees_against,0.0537299094935718,0.02305206138595285,0.07246943125844928,-0.0015770351548018305,-0.05573870043892175,0.1469909282662893,0.008379718778661449,0.13217052747113658,0.121154962971406,0.1008294164492302,0.11163419677469394,0.027285933410353288,0.022709023275927172,0.019509274000027516,0.036909342441145375,-0.020972375904193843,0.030459555989866393,0.06489595656518828,-0.004819379580934416,0.11390149258599931,0.0422419458825196,-0.013030546018166432,0.08046388316479838,1.0,0.054624320065186034,0.059956650818755224,0.05743132761998742,0.14080306718889063,0.12316977134228828,0.02134523497644636,0.0774230974682213,0.15582983679276285,0.03560985503641568,0.017330960442629596,0.07309423146921622,-0.020047318117024218,-0.004743746077080769,-0.03569019049502008,-0.01890244373721214,0.04330123179952944
disposals_match_z,0.9788932322438322,0.8238532695604274,0.7424459901867745,0.8900699748144963,0.026541013551202027,0.6173870747765253,0.8435849648734219,0.5029751919986887,0.3806803887540415,0.463136956773122,0.27064038116283606,-0.014112037796158133,0.0332802775016041,0.16233729654060866,0.41424304188294575,0.4032027972391111,-0.06294745829165813,0.4961221022077321,0.7122382377824702,-0.15328829782124587,-0.042411860745343435,0.40560571642362325,0.19017356739311084,0.054624320065186034,1.0,0.9808766391383065,0.8439437797131464,0.6280636407748699,0.48908138967795073,-0.007059048813613531,0.9856187475520255,0.5746826988091637,0.10759864281430541,0.7174384433207875,0.3541915220950842,0.10399315007087272,0.00026474147159384875,0.8072169678377997,0.7484669242044272,0.3161729585498993
disposals_team_share,0.9702114529289428,0.8152439141361854,0.7385080451803671,0.8748813883840486,0.011233711881187504,0.6204738451784207,0.8291341403699022,0.5088108448152775,0.3854869300955039,0.4679793232453448,0.2784557156601905,-0.028153548204332846,0.025869543465328656,0.14925692883393854,0.38223965840489205,0.3846063889054497,-0.06835358916193342,0.49070963631471554,0.7114207186849723,-0.15323427460749792,-0.04356629888988438,0.41893672706297713,0.19017001720237012,0.059956650818755224,0.9808766391383065,1.0,0.8761750882593281,0.6252086634328743,0.48977055028138167,-0.022351768247537818,0.9673127763886469,0.5758612414304783,0.09011760432426313,0.7197044844846047,0.3618796913776197,0.007928831258493885,0.003678888128608188,0.7908708137293669,0.7280493144280802,0.30267465593437737
disposals_gap_best_team,0.8232401354335088,0.6957022695049216,0.6245279867326781,0.7342809262917798,-0.003429959460289477,0.5365369660742688,0.6989439573613455,0.45124440704212454,0.34831257391152737,0.4116319950083181,0.2408146094516516,-0.02691709923293161,0.02230815409726352,0.12868097688226138,0.3219437137571596,0.3184719619080699,-0.06249168069744249,0.42611930450566,0.6060578920398672,-0.13099738833447555,-0.051922967297519954,0.35736839507363155,0.166855320083661,0.05743132761998742,0.8439437797131464,0.8761750882593281,1.0,0.5485536431674376,0.4274318362220263,-0.015116455858247528,0.8340901134517743,0.5075176127207289,0.08252638264266375,0.6241055654439083,0.3140415454661325,-0.011006222561893715,-0.0017050098149618462,0.6662146840688458,0.625953878299554,0.2933412786961786
contested_possessions_match_z,0.6170204171905184,0.40104207215529025,0.6235622207729098,0.48028979475062894,-0.14316338301819154,0.9784095191203077,0.25871343573535627,0.6322354560533775,0.5092391071806432,0.5736107378669805,0.33569308941049186,0.1077519086539436,0.11657861111345279,0.16443057446749054,0.38453326745433747,0.078071333240025,0.1503725508916979,0.37469857309106597,0.30372787834657533,0.10582008071108698,-0.007615978353257958,0.07486699304520701,0.37563782310582067,0.14080306718889063,0.6280636407748699,0.6252086634328743,0.5485536431674376,1.0,0.6149980587392122,0.09895024142238522,0.713784904171561,0.8246657345813597,0.19981607786997616,0.33166481121351404,0.2193391818622053,0.06244296704499015,-0.0009635255525350053,0.5414536226587021,0.6315111003321753,0.28353395447660484
clearances_match_z,0.47600135963954476,0.2828082142723536,0.5047378348178369,0.37382889040479533,-0.14235566435596414,0.5954570798160229,0.27200241326874525,0.9503013134273608,0.6844603387358702,0.8627042029680986,0.3623913183172433,0.029696510696605977,0.06138850644909148,0.13920337284145765,0.31037594245129757,-0.08556336161060867,-0.1402198180396436,0.38196273303470163,0.2529146480806555,0.1497824201565546,-0.1638579767512544,0.007036320650451375,0.21238061693168162,0.12316977134228828,0.48908138967795073,0.48977055028138167,0.4274318362220263,0.6149980587392122,1.0,0.03563319815453389,0.5339188065935593,0.7727639415897161,0.14232316320564725,0.27600966251818854,0.11330949052706095,0.021455332637485034,0.0022981315074918802,0.4311529270955043,0.4057512530058511,0.22386771472310846
goals_match_z,-0.01479671333404654,0.05366077741114049,-0.07219399244135923,-0.07292920592559958,-0.11210531787674206,0.09126477221423433,-0.047226836612401075,0.0301573892385367,0.004610881506181286,0.025388530262473834,0.028567758572044435,0.8326756980537336,0.25029327917399524,0.12597477599915716,0.34713755044034805,0.06811907840820625,0.13670932361952307,0.14268825976602292,0.05791933949608127,0.06715050769536379,-0.15987335632485336,-0.2852233443612089,0.0901740073291296,0.02134523497644636,-0.007059048813613531,-0.022351768247537818,-0.015116455858247528,0.09895024142238522,0.03563319815453389,1.0,0.012393619094675984,0.07740452593880351,0.6693015101279373,-0.032936012488423164,-0.2398757825246959,0.1150152444381551,0.019492989174288523,0.16775010296098866,0.18642121874584353,0.14973482726467602
possession_impact_index,0.9656059605719841,0.7860177110879011,0.7657362151424428,0.8661657905574046,-0.001575586612267773,0.7000200381413298,0.8106725062982658,0.5487513035064282,0.42030896544692337,0.5053417933135652,0.29623992972062096,0.0074379470715842865,0.051744198140631505,0.17560359984828905,0.4380687926719999,0.37776198850893694,-0.04213324654575477,0.5090415367865908,0.6763662160886367,-0.12019502269770947,-0.043344203034787,0.35688695717143565,0.22781900537155614,0.0774230974682213,0.9856187475520255,0.9673127763886469,0.8340901134517743,0.713784904171561,0.5339188065935593,0.012393619094675984,1.0,0.6423691776200331,0.13363159883369388,0.6825764635015924,0.33781170120095433,0.10571505189294908,0.0005505426870798379,0.8056971376650499,0.7657551658671765,0.32208593746642855
contest_index,0.5649861042343279,0.34498477436010905,0.5982093390700144,0.4250058674784061,-0.16580482817033276,0.808924578222881,0.2837802739678613,0.7864090891912578,0.6125271663855317,0.7117941203399791,0.7104398900470041,0.0809325432258789,0.1004235031005914,0.175787705553077,0.36615782540417907,-0.025761257743247636,-0.02121867204073486,0.4166114137450775,0.2732362559870766,0.11870474133622645,-0.10644223537986147,0.02162066447947805,0.34467564605154577,0.15582983679276285,0.5746826988091637,0.5758612414304783,0.5075176127207289,0.8246657345813597,0.7727639415897161,0.07740452593880351,0.6423691776200331,1.0,0.19730703325750673,0.3065264737932806,0.3390159298387318,0.04743616431329728,0.0001004024925730699,0.5878237545212712,0.5829141600457711,0.260066685834655
