feature,2018,2019,2020,2021,2022,2023,2024,2025,mean_coef,std_coef,cv_coef,sign_changes,top10_rate
inside_50s,0.11945222934060108,0.12202221908966734,0.10121374271917123,0.09874399973028451,0.11374277474942071,0.10431443615555869,0.13990121816385248,0.14592404080661894,0.11816433259439688,0.017466200794434898,0.14781279943744302,0,0.0
bounces,0.11435004197896882,0.11315320622293636,0.11361356928450449,0.11633540694486123,0.11719232752436513,0.11505217517284766,0.1156034115576374,0.11513832555987064,0.11505480803074897,0.001347316107284335,0.011710211249270505,0,0.0
contested_possessions_match_z,-0.17000186535193174,-0.10750662023865713,-0.12858021220583882,-0.1305850564485515,-0.11064522806868964,-0.09953766970047395,-0.07388620720654711,-0.05606319019909179,-0.10960075617747271,0.035248903962485874,0.3216118683105484,0,0.0
role_MEDIUM_FORWARD,0.15574562449991616,0.17535904414417566,0.18841591747816613,0.1710600352645544,0.08290084594675966,0.0378175885841972,0.04103711316038721,-0.001133321559401714,0.10640035593984434,0.07482298245495392,0.7032211668282073,1,0.0
n_teammates_disposals_ge_30,-0.09971861921261187,-0.09692866372906653,-0.10924016371894373,-0.1029273124784536,-0.09770473942332573,-0.10130372000312271,-0.09468587687570759,-0.0898744797553608,-0.09904794689957408,0.0057810626365490825,0.05836630457782807,0,0.0
time_on_ground_pct,0.09867281717130323,0.08863061145303704,0.08219314702174021,0.09062480447744581,0.09332454527018737,0.09645833570162174,0.10134377706673461,0.10841863564738154,0.09495833422618144,0.008127904394206787,0.08559442897183639,0,0.0
role_KEY_FORWARD,0.12173382538286014,0.14594469555127523,0.12126073919354963,0.0687215365093306,0.035906643910855594,0.043590608525471114,0.0542653195139144,0.030024958134098136,0.07768104084016936,0.04520855362371052,0.5819766719749317,0,0.0
frees_for,0.07104244388099991,0.07436847102702981,0.07904471183218983,0.07743334025713702,0.0704653394151784,0.07411156703066712,0.07222406139469995,0.07607372220322951,0.07434545713014144,0.003050191591499274,0.04102727603328775,0,0.0
handballs,0.06555217944387236,0.08913243769808843,0.061635412656607595,0.07321731241344677,0.07141985493503272,0.07524968294010555,0.05578412174059369,0.05632588923340004,0.06853961138264339,0.011133838256181956,0.16244384862388395,0,0.0
clangers,-0.08534106405850106,-0.0750544933875198,-0.06713836513003445,-0.06683732157828673,-0.059772023663421985,-0.05716355196787527,-0.052976597358030335,-0.05215807965232922,-0.06455518709949985,0.011460715483987353,0.17753361114611574,0,0.0
contested_marks_match_z,-0.05764643806245314,-0.05469996916666324,-0.044394976279428,-0.05332650925555518,-0.060488730613312565,-0.06670683270323112,-0.07800632302997174,-0.09179724956765677,-0.06338337858478396,0.015168656740271345,0.23931600174927858,0,0.0
disposals_over30,-0.042256798372652504,-0.048949620832743,-0.05537750002531112,-0.054032591479908264,-0.056410219815945635,-0.057297282267555046,-0.05871515252235899,-0.06251287241976837,-0.05444400471703036,0.006269124469121947,0.115148114134979,0,0.0
rebound_50s,0.056419592094113125,0.053186891043337965,0.05742725524821577,0.057515072387562906,0.05288544152959652,0.05216174105699615,0.05112991491771197,0.05072913634353665,0.05393188057763388,0.0027809976735524104,0.05156500466452712,0,0.0
goals_over5,-0.049505107837172393,-0.05011211642881571,-0.05199749908066739,-0.048811508123026565,-0.05251835165289581,-0.05366716464306547,-0.05907113818504662,-0.05907173827211027,-0.053094328027850024,0.0040255124098093785,0.0758181251996982,0,0.0
goal_assists,0.0482644906795279,0.04544235658911015,0.04611262006483755,0.04704413932109325,0.04863682148027743,0.04906313196288424,0.05079404757599007,0.049173553203492586,0.04806639510965165,0.0017635929825155466,0.03669076864392146,0,0.0
