season,feature,source,pct_available
1995,contested_possessions,afltables_core,0.0
1995,uncontested_possessions,afltables_core,0.0
1995,contested_marks,afltables_core,0.0
1995,marks_inside_50,afltables_core,0.0
1995,one_percenters,afltables_core,0.0
1995,bounces,afltables_core,0.0
1995,goal_assists,afltables_core,0.0
1995,time_on_ground_pct,afltables_core,0.0
1995,effective_disposals,footywire_advanced,0.0
1995,disposal_efficiency_pct,footywire_advanced,0.0
1995,centre_clearances,footywire_advanced,0.0
1995,stoppage_clearances,footywire_advanced,0.0
1995,score_involvements,footywire_advanced,0.0
1995,metres_gained,footywire_advanced,0.0
1995,turnovers,footywire_advanced,0.0
1995,intercepts,footywire_advanced,0.0
1995,tackles_inside_50,footywire_advanced,0.0
1996,kicks,afltables_core,1.0
1996,marks,afltables_core,1.0
1996,handballs,afltables_core,1.0
1996,disposals,afltables_core,1.0
1996,goals,afltables_core,1.0
1996,behinds,afltables_core,1.0
1996,hitouts,afltables_core,1.0
1996,tackles,afltables_core,1.0
1996,rebound_50s,afltables_core,0.0
1996,inside_50s,afltables_core,0.0
1996,clearances,afltables_core,0.0
1996,clangers,afltables_core,0.0
1996,frees_for,afltables_core,1.0
1996,frees_against,afltables_core,1.0
1996,contested_possessions,afltables_core,0.0
1996,uncontested_possessions,afltables_core,0.0
1996,contested_marks,afltables_core,0.0
1996,marks_inside_50,afltables_core,0.0
1996,one_percenters,afltables_core,0.0
1996,bounces,afltables_core,0.0
1996,goal_assists,afltables_core,0.0
1996,time_on_ground_pct,afltables_core,0.0
1996,effective_disposals,footywire_advanced,0.0
1996,disposal_efficiency_pct,footywire_advanced,0.0
1996,centre_clearances,footywire_advanced,0.0
1996,stoppage_clearances,footywire_advanced,0.0
1996,score_involvements,footywire_advanced,0.0
1996,metres_gained,footywire_advanced,0.0
1996,turnovers,footywire_advanced,0.0
1996,intercepts,footywire_advanced,0.0
1996,tackles_inside_50,footywire_advanced,0.0
1997,kicks,afltables_core,1.0
1997,marks,afltables_core,1.0
1997,handballs,afltables_core,1.0
1997,disposals,afltables_core,1.0
1997,goals,afltables_core,1.0
1997,behinds,afltables_core,1.0
1997,hitouts,afltables_core,1.0
1997,tackles,afltables_core,1.0
1997,rebound_50s,afltables_core,0.0
1997,inside_50s,afltables_core,0.0
1997,clearances,afltables_core,0.0
1997,clangers,afltables_core,0.0
1997,frees_for,afltables_core,1.0
1997,frees_against,afltables_core,1.0
1997,contested_possessions,afltables_core,0.0
1997,uncontested_possessions,afltables_core,0.0
1997,contested_marks,afltables_core,0.0
1997,marks_inside_50,afltables_core,0.0
1997,one_percenters,afltables_core,0.0
1997,bounces,afltables_core,0.0
1997,goal_assists,afltables_core,0.0
1997,time_on_ground_pct,afltables_core,0.0
1997,effective_disposals,footywire_advanced,0.0
1997,disposal_efficiency_pct,footywire_advanced,0.0
1997,centre_clearances,footywire_advanced,0.0
1997,stoppage_clearances,footywire_advanced,0.0
1997,score_involvements,footywire_advanced,0.0
1997,metres_gained,footywire_advanced,0.0
1997,turnovers,footywire_advanced,0.0
1997,intercepts,footywire_advanced,0.0
1997,tackles_inside_50,footywire_advanced,0.0
1998,kicks,afltables_core,1.0
1998,marks,afltables_core,1.0
1998,handballs,afltables_core,1.0
