player_id,player_name,team_id,sim_mean_votes,sim_median_votes,sim_mode_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,mean_rank,median_rank,prob_rank_1,prob_top3_rank,prob_top10_rank
12412,Tom Papley,sydney,2.37084,2.0,3,0.0,5.0,0.0,6.0,0.00065,0.0,0.0,0.0,0.0,0.0,177.36387,131.0,0.0,0.0,0.0
12931,Jake Bowey,melbourne,2.35492,2.0,2,0.0,5.0,0.0,6.0,0.00111,0.0,0.0,0.0,0.0,0.0,192.79175,142.0,0.0,0.0,0.0
13026,Darcy Wilmot,brisbane_lions,2.32379,2.0,2,0.0,5.0,0.0,6.0,0.0005,0.0,0.0,0.0,0.0,0.0,177.41523,145.0,0.0,0.0,0.0
12165,Rory Laird,adelaide,2.30398,2.0,2,0.0,5.0,0.0,6.0,0.00109,0.0,0.0,0.0,0.0,0.0,178.59916,140.0,0.0,0.0,0.0
13041,Bodhi Uwland,gold_coast,2.28895,2.0,0,0.0,5.0,0.0,6.0,0.00116,0.0,0.0,0.0,0.0,0.0,194.0884,140.0,0.0,0.0,0.0
12890,Jordon Sweet,port_adelaide,2.28337,2.0,0,0.0,5.0,0.0,7.0,0.00144,0.0,0.0,0.0,0.0,0.0,208.55462,151.0,0.0,0.0,0.0
11898,Tom Liberatore,western_bulldogs,2.24404,2.0,1,0.0,5.0,0.0,6.0,0.00054,0.0,0.0,0.0,0.0,0.0,179.96896,150.0,0.0,0.0,0.0
12836,Bailey Williams,west_coast,2.24361,2.0,2,1.0,4.0,0.0,5.0,0.00013,0.0,0.0,0.0,0.0,0.0,162.16209,143.0,0.0,0.0,0.0
13075,Karl Worner,fremantle,2.15894,2.0,0,0.0,5.0,0.0,6.0,0.00073,0.0,0.0,0.0,0.0,0.0,188.89,150.0,0.0,0.0,0.0
13110,Darcy Wilson,st_kilda,2.1351,2.0,0,0.0,5.0,0.0,6.0,0.00113,0.0,0.0,0.0,0.0,0.0,220.92019,151.0,0.0,0.0,0.0
12497,Oliver Florent,carlton,2.09262,2.0,2,0.0,4.0,0.0,6.0,0.00105,0.0,0.0,0.0,0.0,0.0,196.09358,142.0,0.0,0.0,0.0
13160,Lawson Humphries,geelong,2.07128,2.0,2,0.0,4.0,0.0,6.0,0.0002,0.0,0.0,0.0,0.0,0.0,180.2181,153.0,0.0,0.0,0.0
