rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
168,13190,Sam Lalor,richmond,1.0759856178392868,0,1,0,12
169,12703,Callum Wilkie,st_kilda,1.0630055529054703,0,0,0,23
170,12689,Gryan Miers,geelong,1.060595004711228,0,1,0,15
171,12810,Sam Draper,brisbane_lions,1.057487231930775,0,0,0,22
172,12495,Dan Houston,collingwood,1.0480441626374577,0,0,0,23
173,12060,Bradley Hill,st_kilda,1.034389622289103,0,0,0,23
174,11953,Luke Parker,north_melbourne,1.0304975620823866,0,0,0,23
175,13021,Sam Darcy,western_bulldogs,1.0289684096795564,0,0,1,6
176,13212,Matt Carroll,carlton,1.0276168057800377,0,1,0,10
177,12594,Aaron Naughton,western_bulldogs,1.027091240160047,0,0,0,22
178,12469,Blake Hardwick,hawthorn,1.022691787661172,0,0,0,23
179,12700,Lachie Schultz,collingwood,0.9694437137996679,0,0,1,21
180,12873,Francis Evans,carlton,0.9539015230998149,0,0,0,21
181,13049,Bailey Humphrey,gold_coast,0.9370568742793919,0,0,0,20
182,13160,Lawson Humphries,geelong,0.9354209024699319,0,0,0,22
183,12899,Nick Bryan,essendon,0.9258404218349339,0,0,1,13
184,12537,Tim English,western_bulldogs,0.921215995938601,0,0,0,15
185,12367,Alex Neal-Bullen,adelaide,0.919274301232949,0,0,1,21
186,12664,Kane Farrell,port_adelaide,0.9058180877739516,0,0,0,13
187,13022,Jai Serong,sydney,0.8772584389439506,0,0,0,22
188,12851,Oliver Henry,geelong,0.8655630349773822,0,0,1,22
189,12755,Jye Caldwell,essendon,0.8632389754184779,0,0,1,17
190,13292,Willem Duursma,west_coast,0.8620334276558488,0,0,0,22
191,12906,Ned Reeves,hawthorn,0.8473987751248953,0,0,0,15
192,12505,Tom Stewart,geelong,0.8445146356891781,0,0,0,21
193,13236,Nick Madden,greater_western_sydney,0.8397922406750555,0,0,1,9
194,13041,Bodhi Uwland,gold_coast,0.8215633022990103,0,0,0,23
195,13023,Ned Long,collingwood,0.7990728827738043,0,0,0,21
196,12627,Tom McCartin,sydney,0.7863379580825867,0,0,0,20
197,12497,Oliver Florent,carlton,0.7805474972839577,0,0,0,23
198,13279,Phoenix Gothard,greater_western_sydney,0.776749527537315,0,0,0,16
199,12592,Cam Rayner,brisbane_lions,0.7738435175895141,0,0,0,23
200,11948,Tom Lynch,richmond,0.767076230495902,0,0,1,15
201,12509,Will Hayward,carlton,0.7608432319711276,0,0,0,21
202,12966,Neil Erasmus,fremantle,0.7599242930972652,0,0,0,23
203,13075,Karl Worner,fremantle,0.7578032727439752,0,0,1,23
204,12542,Luke Ryan,fremantle,0.7300872531821249,0,0,0,22
205,13132,Daniel Curtin,adelaide,0.7244139024834627,0,0,0,16
206,13307,Sullivan Robey,essendon,0.7187145838420202,0,0,0,15
207,13064,George Wardlaw,north_melbourne,0.7040922160413083,0,0,0,16
208,12434,Ben Keays,adelaide,0.6953267722691572,0,0,0,23
209,12951,Angus Sheldrick,sydney,0.6742569115853528,0,0,0,18
210,12413,Callum Mills,sydney,0.6609985678681338,0,0,0,22
211,12861,Logan McDonald,sydney,0.6552271253823426,0,0,0,21
