season,match_id,player_id,brownlow_votes,p3,p2,p1,p0,expected_votes,model,role,win_loss_draw,absolute_margin,disposals,goals,match_rank_of_p3
2025,2025_R16_greater_western_sydney_v_gold_coast_2025-06-22,12768,3,0.03952648626919027,0.06590856390290034,0.09881312234939803,0.7957518274785114,0.34920970896276954,Model1_PlackettLuce,MIDFIELDER,loss,7,34,0,5.0
2024,2024_R22_port_adelaide_v_sydney_2024-08-03,12956,3,0.06831949388263342,0.08451995971382895,0.10502859154314156,0.742131954860396,0.47902699261869974,Model1_PlackettLuce,MIDFIELDER_FORWARD,win,112,27,1,5.0
2024,2024_R11_collingwood_v_adelaide_2024-05-18,12318,3,0.04026608669600927,0.0714465746107225,0.09259907017187448,0.7956882685213937,0.3562904794813473,Model1_PlackettLuce,MIDFIELDER,win,4,26,2,5.0
2024,2024_R17_geelong_v_essendon_2024-06-29,12505,3,0.04839382112082348,0.05844486793835435,0.07218833118405588,0.8209729797567663,0.33425953042323503,Model1_PlackettLuce,MEDIUM_DEFENDER,win,45,23,0,5.0
2024,2024_R14_sydney_v_geelong_2024-06-09,12412,3,0.021549900916194496,0.08488286781678793,0.11592775915208302,0.7776394721149347,0.35034319753424237,Model1_PlackettLuce,MEDIUM_FORWARD,win,30,15,4,5.0
2025,2025_R11_gold_coast_v_hawthorn_2025-05-15,12331,3,0.01426252525746851,0.04179344154934811,0.06810077667143238,0.8758432565217511,0.19447523554253413,Model1_PlackettLuce,MIDFIELDER,win,8,22,2,5.0
2023,2023_R7_sydney_v_greater_western_sydney_2023-04-29,12025,3,0.11559047759591273,0.11746015124466724,0.11884469099027271,0.6481046801691474,0.7005364262673455,Model1_PlackettLuce,MEDIUM_FORWARD,win,1,22,4,5.0
2023,2023_R7_st_kilda_v_port_adelaide_2023-04-28,12956,3,0.06088540826283411,0.07586307542323631,0.09224160116194034,0.7710099151519892,0.4266239767969153,Model1_PlackettLuce,MIDFIELDER,win,7,25,0,5.0
2022,2022_R23_st_kilda_v_sydney_2022-08-21,11783,3,0.07316071319181441,0.077230295827758,0.08115402687433189,0.7684549641060957,0.4550967581052911,Model1_PlackettLuce,MIDFIELDER,loss,14,30,0,5.0
2023,2023_R17_geelong_v_north_melbourne_2023-07-09,11700,3,0.07253667205633002,0.07799143389178612,0.0839072129645043,0.7655646810873795,0.4575000969170666,Model1_PlackettLuce,MIDFIELDER,win,62,26,0,5.0
2023,2023_R5_geelong_v_west_coast_2023-04-16,12806,3,0.07407355299953913,0.07876575248824619,0.08393922802865526,0.7632214664835595,0.4636913920037651,Model1_PlackettLuce,MEDIUM_FORWARD,win,47,16,4,5.0
2023,2023_R5_greater_western_sydney_v_hawthorn_2023-04-16,12025,3,0.11290978388573,0.11949861623884982,0.12566401102031038,0.6419275888551097,0.7033905951552,Model1_PlackettLuce,MEDIUM_FORWARD,win,2,24,3,5.0
2022,2022_R6_port_adelaide_v_west_coast_2022-04-23,12150,3,0.15527049720686115,0.16044708161191598,0.16604282443703267,0.5182395967441902,0.952748479281448,Model1_PlackettLuce,MIDFIELDER,win,84,33,1,5.0
2022,2022_R15_sydney_v_st_kilda_2022-06-25,12412,3,0.03225920530270651,0.05294799785099255,0.06846813832996251,0.8463246585163384,0.2711417499400671,Model1_PlackettLuce,MEDIUM_FORWARD,win,51,19,2,5.0
2022,2022_R22_essendon_v_port_adelaide_2022-08-14,12698,3,0.1012288510694909,0.11719919041472228,0.1374214758956369,0.64415048262015,0.6755064099335542,Model1_PlackettLuce,MIDFIELDER_FORWARD,win,84,25,3,5.0
2022,2022_R21_hawthorn_v_gold_coast_2022-08-06,12177,3,0.06055600447517465,0.07287198467341649,0.08498104565735577,0.7815909651940531,0.4123930284297127,Model1_PlackettLuce,RUCK,loss,7,14,1,5.0
2021,2021_R13_west_coast_v_richmond_2021-06-13,12333,3,0.0467295881498891,0.05639440336732031,0.07002298670697352,0.8268530217758171,0.32300055789128146,Model1_PlackettLuce,MEDIUM_FORWARD,loss,4,27,2,5.0
2021,2021_R21_richmond_v_north_melbourne_2021-08-07,12590,3,0.05579383778064814,0.06666913909324236,0.07764701162833333,0.7998900114977762,0.37836680315676247,Model1_PlackettLuce,MIDFIELDER,loss,33,38,0,5.0
2023,2023_R13_sydney_v_st_kilda_2023-06-08,12325,3,0.10081997314184697,0.10762597368891234,0.11444762587318558,0.6771064272960551,0.6321594926765511,Model1_PlackettLuce,MEDIUM_DEFENDER,win,14,32,0,5.0
2023,2023_R10_hawthorn_v_west_coast_2023-05-21,12915,3,0.009143255104944063,0.05581753667352256,0.09202526950341763,0.8430139387181158,0.23109010816529493,Model1_PlackettLuce,MIDFIELDER,win,116,24,1,5.0
2022,2022_R23_geelong_v_west_coast_2022-08-20,12153,3,0.052690011998411966,0.059453102826219,0.06810384947039695,0.8197530357049722,0.3450800911180708,Model1_PlackettLuce,RUCK,win,85,25,0,5.0
2019,2019_R7_adelaide_v_fremantle_2019-05-05,11834,3,0.09598666969261317,0.10099780883968659,0.10623879005540299,0.6967767314122972,0.5961944168126156,Model1_PlackettLuce,MIDFIELDER,loss,17,32,0,5.0
2020,2020_R11_gold_coast_v_essendon_2020-08-12,12533,3,0.075493505181686,0.0855968907950729,0.09382004987934633,0.7450895541438948,0.49149434701455014,Model1_PlackettLuce,MIDFIELDER,draw,0,18,1,5.0
2020,2020_R7_richmond_v_north_melbourne_2020-07-18,12535,3,0.06143168190162812,0.06567610816990763,0.07024836626184404,0.8026438436666202,0.38589562830654367,Model1_PlackettLuce,MIDFIELDER,win,54,19,0,5.0
2021,2021_R5_st_kilda_v_richmond_2021-04-15,12374,3,0.08479728374143601,0.0985983891372689,0.119309405821363,0.6972949212999321,0.5708980353202088,Model1_PlackettLuce,RUCK,win,86,22,0,5.0
2022,2022_R22_gold_coast_v_geelong_2022-08-13,12017,3,0.08317887955192323,0.09190368562033427,0.10294007514548922,0.7219773596822533,0.5362840850419275,Model1_PlackettLuce,KEY_FORWARD,win,60,21,3,5.0
2019,2019_R18_st_kilda_v_western_bulldogs_2019-07-21,12324,3,0.09381189761767848,0.10356547003761313,0.11101931986696362,0.6916033124777448,0.5995859527952253,Model1_PlackettLuce,MEDIUM_FORWARD,win,27,20,4,5.0
2019,2019_R8_st_kilda_v_west_coast_2019-05-11,12087,3,0.04533551388109891,0.04971340934204585,0.05484297884779264,0.8501080979290626,0.2902763391751811,Model1_PlackettLuce,MIDFIELDER,win,18,23,0,5.0
2016,2016_R11_geelong_v_greater_western_sydney_2016-06-04,12143,3,0.051419729853725164,0.06712511830308855,0.09309513336175007,0.7883600184814363,0.38160455952910266,Model1_PlackettLuce,MIDFIELDER,loss,10,28,3,4.0
2016,2016_R2_carlton_v_sydney_2016-04-03,11953,3,0.12540381298673717,0.14707579240406524,0.17887085496803304,0.5486495396411646,0.849233878736375,Model1_PlackettLuce,UNKNOWN,win,60,29,1,4.0
2015,2015_R23_port_adelaide_v_fremantle_2015-09-05,11579,3,0.048611654754904844,0.07277194720139503,0.09550037854680472,0.7831160194968955,0.3868792372143093,Model1_PlackettLuce,MIDFIELDER,win,69,25,2,4.0
2015,2015_R22_adelaide_v_west_coast_2015-08-30,11891,3,0.08051599670854832,0.09351999024362719,0.10898364746613698,0.7169803655816874,0.5375716180790363,Model1_PlackettLuce,MEDIUM_DEFENDER,win,57,29,0,4.0
2015,2015_R22_hawthorn_v_brisbane_lions_2015-08-29,11845,3,0.12553324719247466,0.13793423701100826,0.15201122554885652,0.5845212902476606,0.8044794411482971,Model1_PlackettLuce,KEY_FORWARD,win,72,24,4,4.0
2015,2015_R22_north_melbourne_v_western_bulldogs_2015-08-29,12269,3,0.12237859188497012,0.12539832376461432,0.1272814385360901,0.6249416458143254,0.7452138617202291,Model1_PlackettLuce,MIDFIELDER,win,23,23,1,4.0
2015,2015_R16_collingwood_v_west_coast_2015-07-18,11751,3,0.10232332234994299,0.10453488229679032,0.10627238396600978,0.6868694113872569,0.6223121156094193,Model1_PlackettLuce,MIDFIELDER,loss,31,38,1,4.0
2016,2016_R8_west_coast_v_st_kilda_2016-05-15,4186,3,0.10599298215514488,0.11359356128780682,0.12140630618578419,0.6590071503712641,0.6665723752268324,Model1_PlackettLuce,MIDFIELDER,win,103,28,0,4.0
2016,2016_R2_st_kilda_v_western_bulldogs_2016-04-02,12122,3,0.06385806239180129,0.08116797640747583,0.09451197820553842,0.7604619829951844,0.44842211819589395,Model1_PlackettLuce,UNKNOWN,win,57,27,1,4.0
2015,2015_R8_hawthorn_v_sydney_2015-05-23,1135,3,0.09875621929939349,0.11494428912289788,0.12618492315823057,0.660114568419478,0.6523421593022068,Model1_PlackettLuce,MIDFIELDER,loss,4,32,0,4.0
2015,2015_R9_west_coast_v_geelong_2015-05-31,4186,3,0.06442257367145107,0.11677047604029886,0.14663215985956918,0.6721747904286808,0.5734408329545202,Model1_PlackettLuce,MIDFIELDER,win,56,29,0,4.0
2015,2015_R11_collingwood_v_greater_western_sydney_2015-06-14,12061,3,0.09393386546151224,0.11109051658652967,0.12570603065710773,0.6692695872948503,0.6296886602147038,Model1_PlackettLuce,MIDFIELDER,win,42,28,2,4.0
2015,2015_R15_richmond_v_carlton_2015-07-10,11733,3,0.1014878724442881,0.11143232582182774,0.11771960018574537,0.6693602015481388,0.6450478691622651,Model1_PlackettLuce,KEY_DEFENDER,win,30,22,0,4.0
2015,2015_R15_essendon_v_melbourne_2015-07-11,3939,3,0.1405497842255403,0.14516391420396565,0.14848417934643746,0.5658021222240566,0.8604613604309895,Model1_PlackettLuce,MIDFIELDER,win,9,30,1,4.0
2015,2015_R3_north_melbourne_v_port_adelaide_2015-04-18,11639,3,0.07874797721953848,0.07944828489667329,0.07981327952777202,0.7619904583560161,0.474953780979734,Model1_PlackettLuce,UNKNOWN,win,8,22,3,4.0
2015,2015_R9_richmond_v_essendon_2015-05-30,11557,3,0.08904254562302787,0.1009231625204521,0.11552265259052501,0.6945116392659951,0.5844966145005127,Model1_PlackettLuce,MIDFIELDER,win,13,25,0,4.0
2015,2015_R7_carlton_v_greater_western_sydney_2015-05-16,11677,3,0.059623686697331535,0.07943429815622993,0.11229315204617639,0.7486488631002621,0.4500328084506309,Model1_PlackettLuce,MIDFIELDER,win,78,27,0,4.0
2016,2016_R18_geelong_v_adelaide_2016-07-23,621,3,0.03651879016492858,0.053721609036368946,0.08770024217212381,0.8220593586265788,0.30469983073964746,Model1_PlackettLuce,MEDIUM_DEFENDER,win,30,31,0,4.0
2016,2016_R17_sydney_v_hawthorn_2016-07-14,1126,3,0.10635277224215682,0.12294000135981176,0.14354794150998776,0.6271592848880437,0.7084862609560817,Model1_PlackettLuce,MIDFIELDER,win,5,26,2,4.0
