season,round,round_label,match_id,afl_match_id,date,home_team,away_team,player_id,afl_player_id,player_name,player_team,player_team_abbr,actual_brownlow_votes,eligible,identity_status
2026,2,Round 2,2026_R2_adelaide_v_western_bulldogs_2026-03-20,CD_M20260140202,2026-03-20,adelaide,western_bulldogs,13140,CD_I1027704,Joel Freijah,western_bulldogs,WB,3,True,resolved
2026,2,Round 2,2026_R2_adelaide_v_western_bulldogs_2026-03-20,CD_M20260140202,2026-03-20,adelaide,western_bulldogs,12269,CD_I297373,Marcus Bontempelli,western_bulldogs,WB,2,True,resolved
2026,2,Round 2,2026_R2_adelaide_v_western_bulldogs_2026-03-20,CD_M20260140202,2026-03-20,adelaide,western_bulldogs,12605,CD_I1008280,Ed Richards,western_bulldogs,WB,1,True,resolved
2026,2,Round 2,2026_R2_fremantle_v_melbourne_2026-03-21,CD_M20260140205,2026-03-21,fremantle,melbourne,12535,CD_I993993,Shai Bolton,fremantle,FRE,3,True,resolved
2026,2,Round 2,2026_R2_fremantle_v_melbourne_2026-03-21,CD_M20260140205,2026-03-21,fremantle,melbourne,12589,CD_I1002232,Andrew Brayshaw,fremantle,FRE,2,True,resolved
2026,2,Round 2,2026_R2_fremantle_v_melbourne_2026-03-21,CD_M20260140205,2026-03-21,fremantle,melbourne,12887,CD_I1012819,Josh Treacy,fremantle,FRE,1,True,resolved
2026,2,Round 2,2026_R2_greater_western_sydney_v_st_kilda_2026-03-21,CD_M20260140204,2026-03-21,greater_western_sydney,st_kilda,12703,CD_I296422,Callum Wilkie,st_kilda,STK,3,True,resolved
2026,2,Round 2,2026_R2_greater_western_sydney_v_st_kilda_2026-03-21,CD_M20260140204,2026-03-21,greater_western_sydney,st_kilda,12410,CD_I996701,Clayton Oliver,greater_western_sydney,GWS,2,True,resolved
2026,2,Round 2,2026_R2_greater_western_sydney_v_st_kilda_2026-03-21,CD_M20260140204,2026-03-21,greater_western_sydney,st_kilda,12782,CD_I1009253,Lachie Ash,greater_western_sydney,GWS,1,True,resolved
2026,2,Round 2,2026_R2_richmond_v_gold_coast_2026-03-21,CD_M20260140203,2026-03-21,richmond,gold_coast,12728,CD_I1006144,Ben King,gold_coast,GCFC,3,True,resolved
2026,2,Round 2,2026_R2_richmond_v_gold_coast_2026-03-21,CD_M20260140203,2026-03-21,richmond,gold_coast,12331,CD_I298272,Touk Miller,gold_coast,GCFC,2,True,resolved
2026,2,Round 2,2026_R2_richmond_v_gold_coast_2026-03-21,CD_M20260140203,2026-03-21,richmond,gold_coast,13041,CD_I1017665,Bodhi Uwland,gold_coast,GCFC,1,True,resolved
2026,2,Round 2,2026_R2_port_adelaide_v_essendon_2026-03-22,CD_M20260140206,2026-03-22,port_adelaide,essendon,12698,CD_I1006121,Zak Butters,port_adelaide,PORT,3,True,resolved
2026,2,Round 2,2026_R2_port_adelaide_v_essendon_2026-03-22,CD_M20260140206,2026-03-22,port_adelaide,essendon,12956,CD_I1011640,Jason Horne-Francis,port_adelaide,PORT,2,False,resolved
2026,2,Round 2,2026_R2_port_adelaide_v_essendon_2026-03-22,CD_M20260140206,2026-03-22,port_adelaide,essendon,12433,CD_I294469,Aliir Aliir,port_adelaide,PORT,1,True,resolved
2026,2,Round 2,2026_R2_west_coast_v_north_melbourne_2026-03-22,CD_M20260140207,2026-03-22,west_coast,north_melbourne,13034,CD_I1023518,Harry Sheezel,north_melbourne,NMFC,3,True,resolved
2026,2,Round 2,2026_R2_west_coast_v_north_melbourne_2026-03-22,CD_M20260140207,2026-03-22,west_coast,north_melbourne,13111,CD_I1023492,Harley Reid,west_coast,WCE,2,False,resolved
2026,2,Round 2,2026_R2_west_coast_v_north_melbourne_2026-03-22,CD_M20260140207,2026-03-22,west_coast,north_melbourne,12563,CD_I1001017,Nick Larkey,north_melbourne,NMFC,1,True,resolved
2026,3,Round 3,2026_R3_geelong_v_adelaide_2026-03-26,CD_M20260140301,2026-03-26,geelong,adelaide,12692,CD_I1006130,Bailey Smith,geelong,GEEL,3,True,resolved
2026,3,Round 3,2026_R3_geelong_v_adelaide_2026-03-26,CD_M20260140301,2026-03-26,geelong,adelaide,12953,CD_I1017051,Josh Rachele,adelaide,ADEL,2,True,resolved
2026,3,Round 3,2026_R3_geelong_v_adelaide_2026-03-26,CD_M20260140301,2026-03-26,geelong,adelaide,12881,CD_I1015889,Max Holmes,geelong,GEEL,1,True,resolved
2026,3,Round 3,2026_R3_collingwood_v_greater_western_sydney_2026-03-27,CD_M20260140302,2026-03-27,collingwood,greater_western_sydney,12943,CD_I1023261,Nick Daicos,collingwood,COLL,3,True,resolved
2026,3,Round 3,2026_R3_collingwood_v_greater_western_sydney_2026-03-27,CD_M20260140302,2026-03-27,collingwood,greater_western_sydney,11751,CD_I280965,Steele Sidebottom,collingwood,COLL,2,True,resolved
2026,3,Round 3,2026_R3_collingwood_v_greater_western_sydney_2026-03-27,CD_M20260140302,2026-03-27,collingwood,greater_western_sydney,12300,CD_I294596,Tim Membrey,collingwood,COLL,1,True,resolved
2026,3,Round 3,2026_R3_essendon_v_north_melbourne_2026-03-28,CD_M20260140305,2026-03-28,essendon,north_melbourne,11953,CD_I290778,Luke Parker,north_melbourne,NMFC,3,True,resolved
2026,3,Round 3,2026_R3_essendon_v_north_melbourne_2026-03-28,CD_M20260140305,2026-03-28,essendon,north_melbourne,13107,CD_I1024272,Colby McKercher,north_melbourne,NMFC,2,True,resolved
2026,3,Round 3,2026_R3_essendon_v_north_melbourne_2026-03-28,CD_M20260140305,2026-03-28,essendon,north_melbourne,13034,CD_I1023518,Harry Sheezel,north_melbourne,NMFC,1,True,resolved
2026,3,Round 3,2026_R3_fremantle_v_richmond_2026-03-28,CD_M20260140304,2026-03-28,fremantle,richmond,12786,CD_I1009420,Caleb Serong,fremantle,FRE,3,True,resolved
2026,3,Round 3,2026_R3_fremantle_v_richmond_2026-03-28,CD_M20260140304,2026-03-28,fremantle,richmond,12887,CD_I1012819,Josh Treacy,fremantle,FRE,2,True,resolved
2026,3,Round 3,2026_R3_fremantle_v_richmond_2026-03-28,CD_M20260140304,2026-03-28,fremantle,richmond,12535,CD_I993993,Shai Bolton,fremantle,FRE,1,True,resolved
2026,3,Round 3,2026_R3_st_kilda_v_brisbane_lions_2026-03-28,CD_M20260140303,2026-03-28,st_kilda,brisbane_lions,12519,CD_I998133,Jarrod Berry,brisbane_lions,BL,3,True,resolved
2026,3,Round 3,2026_R3_st_kilda_v_brisbane_lions_2026-03-28,CD_M20260140303,2026-03-28,st_kilda,brisbane_lions,13040,CD_I1023517,Will Ashcroft,brisbane_lions,BL,2,True,resolved
2026,3,Round 3,2026_R3_st_kilda_v_brisbane_lions_2026-03-28,CD_M20260140303,2026-03-28,st_kilda,brisbane_lions,13197,CD_I1028560,Levi Ashcroft,brisbane_lions,BL,1,True,resolved
2026,3,Round 3,2026_R3_carlton_v_melbourne_2026-03-29,CD_M20260140307,2026-03-29,carlton,melbourne,12771,CD_I1008541,Kysaiah Pickett,melbourne,MELB,3,True,resolved
2026,3,Round 3,2026_R3_carlton_v_melbourne_2026-03-29,CD_M20260140307,2026-03-29,carlton,melbourne,11966,CD_I290528,Max Gawn,melbourne,MELB,2,True,resolved
2026,3,Round 3,2026_R3_carlton_v_melbourne_2026-03-29,CD_M20260140307,2026-03-29,carlton,melbourne,12684,CD_I1006094,Sam Walsh,carlton,CARL,1,True,resolved
2026,3,Round 3,2026_R3_port_adelaide_v_west_coast_2026-03-29,CD_M20260140306,2026-03-29,port_adelaide,west_coast,12601,CD_I996554,Jake Waterman,west_coast,WCE,3,True,resolved
2026,3,Round 3,2026_R3_port_adelaide_v_west_coast_2026-03-29,CD_M20260140306,2026-03-29,port_adelaide,west_coast,12698,CD_I1006121,Zak Butters,port_adelaide,PORT,2,True,resolved
2026,3,Round 3,2026_R3_port_adelaide_v_west_coast_2026-03-29,CD_M20260140306,2026-03-29,port_adelaide,west_coast,13111,CD_I1023492,Harley Reid,west_coast,WCE,1,False,resolved
